# Sw   k_w   k_n
0.0 0.0 1.0
0.01 0.0 1.0
0.02 0.0 1.0
0.03 0.0 1.0
0.04 0.0 1.0
0.05 0.0 1.0
0.06 1.1431116604e-07 0.992358868032
0.07 1.19837440599e-06 0.983227169893
0.08 4.74005622955e-06 0.973198235934
0.09 1.25804590721e-05 0.962480948901
0.1 2.68339937625e-05 0.951197376583
0.11 4.98481175841e-05 0.939431308952
0.12 8.4178613267e-05 0.927245527442
0.13 0.000132573003208 0.914689777665
0.14 0.000197958876742 0.901805042216
0.15 0.000283435468452 0.888626068805
0.16 0.000392267533561 0.875182976424
0.17 0.000527880930882 0.86150233224
0.18 0.00069385952879 0.847607904853
0.19 0.000893943173177 0.833521209502
0.2 0.00113202653474 0.819261913989
0.21 0.00141215870504 0.80484814816
0.22 0.00173854344675 0.790296744673
0.23 0.00211554002896 0.775623429633
0.24 0.00254766459738 0.760842975829
0.25 0.00303959204353 0.745969327599
0.26 0.00359615834793 0.731015703792
0.27 0.00422236338141 0.715994683576
0.28 0.00492337415584 0.700918278659
0.29 0.00570452852184 0.68579799459
0.3 0.0065713393166 0.670644883231
0.31 0.0075294989697 0.655469587981
0.32 0.00858488457966 0.640282383035
0.33 0.00974356347816 0.625093207668
0.34 0.0110117993035 0.60991169636
0.35 0.0123960586088 0.594747205405
0.36 0.0139030180362 0.579608836545
0.37 0.0155395720912 0.564505458054
0.38 0.0173128415582 0.549445723649
0.39 0.0192301826036 0.534438089518
0.4 0.0212991966169 0.519490829727
0.41 0.0235277408511 0.504612050213
0.42 0.0259239399257 0.48980970155
0.43 0.0284961982691 0.475091590645
0.44 0.0312532135835 0.460465391486
0.45 0.0342039914263 0.445938655077
0.46 0.0373578610158 0.431518818641
0.47 0.0407244923797 0.417213214192
0.48 0.0443139149843 0.403029076544
0.49 0.0481365379962 0.388973550833
0.5 0.0522031723532 0.375053699613
0.51 0.0565250548412 0.361276509568
0.52 0.0611138744039 0.347648897909
0.53 0.0659818009448 0.334177718486
0.54 0.071141516917 0.320869767666
0.55 0.0766062520418 0.307731790011
0.56 0.0823898215499 0.294770483795
0.57 0.0885066683995 0.281992506395
0.58 0.0949719099993 0.269404479594
0.59 0.101801390053 0.257012994824
0.6 0.109011736247 0.244824618385
0.61 0.116620424624 0.232845896683
0.62 0.124645851649 0.221083361509
0.63 0.13310741515 0.209543535408
0.64 0.14202560555 0.198232937182
0.65 0.151422109078 0.187158087553
0.66 0.161319925015 0.176325515062
0.67 0.17174349944 0.165741762241
0.68 0.182718878505 0.155413392124
0.69 0.194273884942 0.145346995175
0.7 0.206438322419 0.13554919672
0.71 0.21924421345 0.126026664968
0.72 0.232726078091 0.116786119762
0.73 0.246921262567 0.107834342177
0.74 0.261870329569 0.0991781851656
0.75 0.277617525426 0.0908245854424
0.76 0.29421134409 0.0827805768806
0.77 0.311705214413 0.0750533057546
0.78 0.330158346349 0.0676500482484
0.79 0.349636784831 0.060578230774
0.8 0.370214739133 0.0538454538135
0.81 0.391976283836 0.0474595202299
0.82 0.415017570685 0.0414284693255
0.83 0.439449758016 0.0357606184129
0.84 0.465402973158 0.0304646143863
0.85 0.493031804673 0.0255494988956
0.86 0.522523136856 0.0210247924971
0.87 0.554107714655 0.0169006060846
0.88 0.588077939717 0.013187792987
0.89 0.624816704654 0.0098981644591
0.9 0.664847294495 0.00704480973373
0.91 0.708927641253 0.00464260174471
0.92 0.758251576808 0.00270906767221
0.93 0.814967096382 0.0012660918894
0.94 0.88404719951 0.000344063866823
0.95 1.0 0.0
0.96 1.0 0.0
0.97 1.0 0.0
0.98 1.0 0.0
0.99 1.0 0.0
